"vocabulary"	"classes"	"tense"	"meaning"	"idiom"	"sentence"	"association"	"study_time"	"source"	"arrange_time"	"translate"	"num"	
"dispute"	"Verb"	"/dɪˈspjuːt/"	"to say that something such as a fact is not true or correct"		"They do not dispute the fact that the company is in trouble."	"dispute, disprove, debunk, explode, repudiate, confound, discredit, refute, disabuse"	10/19/2009		10/20/2009	"對...提出質疑"		
"debunk"	"Verb"	"/diːˈbʌŋk/"	"to prove that something such as an idea or belief is false and silly"		"His theories have been debunked by recent research."	"dispute, disprove, debunk, explode, repudiate, confound, discredit, refute, disabuse"	10/19/2009		10/20/2009	"揭穿"		
"explode"	"Verb"	"/ɪkˈspləʊd/"	"to prove that a story or theory that many people believe is in fact false"		"Scientists wanted to explode the myth of a monster living in the lake."	"dispute, disprove, debunk, explode, repudiate, confound, discredit, refute, disabuse"	10/19/2009		10/20/2009	"推翻;駁倒;戳穿"		
"repudiate"	"Verb"	"/rɪˈpjuːdieɪt/"	"to say formally that something is not true"		"They repudiated all accusations of unlawful activity."	"dispute, disprove, debunk, explode, repudiate, confound, discredit, refute, disabuse"	10/19/2009		10/20/2009	"否認，駁斥 "		
"confound"	"Verb"	"/kənˈfaʊnd/"	"to prove that something is wrong"		"This new evidence confounds your theory."	"dispute, disprove, debunk, explode, repudiate, confound, discredit, refute, disabuse"	10/19/2009		10/20/2009	"證明…有錯"		
"refute"	"Verb"	"/rɪˈfjuːt/"	"to prove that a statement is false"		"The evidence refutes all claims that the student loan scheme is not working."	"dispute, disprove, debunk, explode, repudiate, confound, discredit, refute, disabuse"	10/19/2009		10/20/2009	"駁斥；批駁"		
"disabuse"	"Verb"	"/ˌdɪsəˈbjuːz/"	"to make someone realize that they were wrong to believe something"	"disabuse sb of sth"	"I tried to disabuse him of that notion."	"dispute, disprove, debunk, explode, repudiate, confound, discredit, refute, disabuse"	10/19/2009		10/20/2009	"去掉（某人）的錯誤想法"		
"poverty"	"None"	"/ˈpɑvərti/"	"a situation in which someone does not have enough money to pay for their basic needs"	"in poverty"	"There are many areas where the problems of poverty and unemployment still persist."	"poverty, austerity, want, deprivation, destitution, gutter, penury, privation, the poorhouse, subsistence level"	10/19/2009	"Immigrant asks to be deported, citing poverty"	10/20/2009	"貧窮；貧困"		
"austerity"	"None"	"/ɔˈsterəti/"	"a situation in which economic conditions are bad and people’s living standards fall"		"austerity measures/policies/programs"	"poverty, austerity, want, deprivation, destitution, gutter, penury, privation, the poorhouse, subsistence level"	10/19/2009		10/20/2009	"（經濟的）緊縮；嚴格節制消費"		
"want"	"None"	"/wɑnt/"	"a lack of money, food, and other things someone needs to live"		"They were living in obvious want and squalor."	"poverty, austerity, want, deprivation, destitution, gutter, penury, privation, the poorhouse, subsistence level"	10/19/2009		10/20/2009	"需要"		
"deprivation"	"None"	"/ˌdeprɪˈveɪʃ(ə)n/"	"a situation in which people do not have basic things that they need to live a comfortable life"		"social deprivation"	"poverty, austerity, want, deprivation, destitution, gutter, penury, privation, the poorhouse, subsistence level"	10/19/2009		10/20/2009	"貧困；喪失"		
"destitution"	"None"	"/ˌdestɪˈtuʃ(ə)n/"	"the state of having no money or possessions"		"live in complete destitution"	"poverty, austerity, want, deprivation, destitution, gutter, penury, privation, the poorhouse, subsistence level"	10/19/2009		10/20/2009	"窮困;缺乏"		
"gutter"	"None"	"/ˈɡʌtər/"	"the bad social conditions of the poorest people in society"		"The gutters were blocked and overflowing."	"poverty, austerity, want, deprivation, destitution, gutter, penury, privation, the poorhouse, subsistence level"	10/19/2009		10/20/2009	"惡劣的社會環境"		
"penury"	"None"	"/ˈpenjʊri/"	"the state of being extremely poor"		"He died in penury in 1644."	"poverty, austerity, want, deprivation, destitution, gutter, penury, privation, the poorhouse, subsistence level"	10/19/2009		10/20/2009	"貧困；貧窮"		
"privation"	"None"	"/praɪˈveɪʃ(ə)n/ "	"a situation in which you do not have the basic things that you need for a comfortable life"		"the privations of wartime"	"poverty, austerity, want, deprivation, destitution, gutter, penury, privation, the poorhouse, subsistence level"	10/19/2009		10/20/2009	"貧困；匱乏"		
"poorhouse"	"None"	"/ˈpʊrˌhaʊs/"	"in the past, a place provided for very poor people who had no homes and were unable to feed themselves"		"If Jimmy keeps spending like this, he's going to end up in the poorhouse "	"poverty, austerity, want, deprivation, destitution, gutter, penury, privation, the poorhouse, subsistence level"	10/19/2009		10/20/2009	"貧民院 "		
"subsistence level"	"Phrase"	"/səbˈsɪstəns/"	"living conditions in which someone has only as much food and money as they need in order to stay alive"		"Refugees in the camp are living at subsistence levels."	"poverty, austerity, want, deprivation, destitution, gutter, penury, privation, the poorhouse, subsistence level"	10/19/2009		10/20/2009	"勉強餬口的生活水平"		
"arrest"	"Verb"	"/əˈrest/"	"if the police arrest someone, they take that person to a police station because they believe he or she has committed a crime. Someone who has been arrested is under arrest, and if they are not allowed to leave, they are in custody"	"arrest someone for something"	"Police raided the store at dawn, arresting six men and seizing hundreds of pirated CDs."	"arrest, apprehension, apprehend"	10/19/2009	"Immigrant asks to be deported, citing poverty"	10/21/2009	"逮捕; 拘押"		
"apprehension"	"None"	"/ˌæprɪˈhenʃ(ə)n/"	"a feeling of worry or fear that something bad might happen"		"Many of us face our retirement with apprehension."	"arrest, apprehension, apprehend"	10/19/2009		10/21/2009	"逮捕; 拘押"		
"apprehend"	"Verb"	"/ˌæprɪˈhend/"	"to arrest someone"		"The police have failed to apprehend the culprits."	"arrest, apprehension, apprehend"	10/19/2009		10/21/2009	"逮捕; 拘押"		
"confess"	"Verb"	"/kənˈfes/"	"to admit that you have committed a crime"	"confess to someone"	"After three hours of interrogation, he confessed everything."	"confess, admit"	10/19/2009	"Immigrant asks to be deported, citing poverty"	10/21/2009	"承認"		
"admit"	"Verb"	"/ədˈmɪt/"	"to say that you have done something wrong or illegal"	"admit (that)"	"She admitted two charges of handling stolen goods."	"confess, admit"	10/19/2009		10/21/2009	"承認"		
"survive"	"Verb"	"/sərˈvaɪv/"	"to stay alive despite an injury, illness, war, etc."		"Just eight passengers survived the plane crash."	"recover, survive, fight off, shake, strengthen, heal, revive, pull through"	10/19/2009	"Immigrant asks to be deported, citing poverty"	10/21/2009	"幸存, 生還"		
"recover"	"Verb"	"/rɪˈkʌvər/"	"to become fit and healthy again after an illness or an injury"	"recover from"	"I haven’t fully recovered from that flu I had."	"recover, survive, fight off, shake, strengthen, heal, revive, pull through"	10/19/2009		10/21/2009	"痊癒, 復原"		
"fight off"	"Phrase"		"if your body fights off an illness, it prevents the illness from making you sick"			"recover, survive, fight off, shake, strengthen, heal, revive, pull through"	10/19/2009		10/21/2009	"擊退, 排斥"		
"strengthen"	"Verb"	"/ˈstreŋθən/"	"to make your body physically stronger or more healthy"		"Aerobic exercise strengthens the heart."	"recover, survive, fight off, shake, strengthen, heal, revive, pull through"	10/19/2009		10/21/2009	"加強, 鞏固"		
"heal"	"Verb"	"/hil/"	"if an injury heals, the skin or bone grows back together and becomes healthy again"		"The wound took a long time to heal."	"recover, survive, fight off, shake, strengthen, heal, revive, pull through"	10/19/2009		10/21/2009	"治癒"		
"revive"	"Verb"	"/rɪˈvaɪv/"	"to make someone become conscious or alive again"		"Attempts to revive him failed, and he died soon afterward."	"recover, survive, fight off, shake, strengthen, heal, revive, pull through"	10/19/2009		10/21/2009	"(使)復活"		
"pull through"	"Phrase"		"to manage to stay alive after you have been very sick or very badly injured"		"Don’t worry, your dad’s going to pull through."	"recover, survive, fight off, shake, strengthen, heal, revive, pull through"	10/19/2009		10/21/2009	"度過難關, 恢復健康"		
"conscious"	"Adj"	"/ˈkɑnʃəs/"	"noticing that something exists or is happening and realizing that it is important"	"conscious of"	"Teachers are increasingly conscious of the importance of the Internet."	"conscious, knowing, knowledgeable, conversant, au fait, omniscient, aware"	10/21/2009		10/22/2009	"有意識的, 有知覺的"		
"knowing"	"Adj"	"/ˈnoʊɪŋ/"	"a knowing expression or action shows that you know about something"		"Tom gave me a knowing look."	"conscious, knowing, knowledgeable, conversant, au fait, omniscient, aware"	10/21/2009		10/22/2009	"會意的, 精明的, <貶>狡猾的"		
"knowledgeable"	"Adj"	"/ˈnɑlɪdʒəb(ə)l/"	"knowing a lot about many different subjects or about one particular subject"	"knowledgeable about:"	"She’s very knowledgeable for her age."	"conscious, knowing, knowledgeable, conversant, au fait, omniscient, aware"	10/21/2009		10/22/2009	"知識淵博的, 有見識的"		
"conversant"	"Adj"	"/kənˈvɜrs(ə)nt/"	"if you are conversant with something, you know about it and understand it"			"conscious, knowing, knowledgeable, conversant, au fait, omniscient, aware"	10/21/2009		10/22/2009	"有交情的, 熟悉的"		
"au fait"	"Adj"	"/ˌoʊ ˈfeɪ/"	"informed of the most recent facts or information about something"	"be au fait with something"	"I’m not really au fait with the latest computer technology."	"conscious, knowing, knowledgeable, conversant, au fait, omniscient, aware"	10/21/2009		10/22/2009	"熟悉的,精通的"		
"omniscient"	"Adj"	"/ɑmˈnɪʃənt/"	"knowing everything"			"conscious, knowing, knowledgeable, conversant, au fait, omniscient, aware"	10/21/2009		10/22/2009	"全知的, 無所不知的"		
"aware"	"Adj"	"/əˈwer/"	" knowing about a situation or a fact"	"aware of"	"As far as I’m aware, he didn’t say anything of the kind."	"conscious, knowing, knowledgeable, conversant, au fait, omniscient, aware"	10/21/2009		10/22/2009	"知道的, 明白的,"		
"guilty"	"Adj"	"/ˈɡɪlti/"	"ashamed and sorry because you have done something wrong"	"guilty about"	"I still feel guilty about things I said to my mother when I was a teenager."	"apologetic, guilty, contrite, regretful, repentant, remorseful, penitent, rueful"	10/21/2009		10/22/2009	"心虛的"		
"apologetic"	"Adj"	"/əˌpɑləˈdʒetɪk/"	"showing that you are sorry for doing something wrong or for causing a problem"		"The manager was very apologetic."	"apologetic, guilty, contrite, regretful, repentant, remorseful, penitent, rueful"	10/21/2009		10/22/2009	"道歉的, 認錯的"		
"contrite"	"Adj"	"/kənˈtraɪt/"	"very sorry or ashamed because you have done something bad"		"She was contrite the morning after her angry outburst."	"apologetic, guilty, contrite, regretful, repentant, remorseful, penitent, rueful"	10/21/2009		10/22/2009	"深感懊悔的, "		
"regretful"	"Adj"	"/rɪˈɡretf(ə)l/"	"sad, or sorry"		"George sounded a little regretful that he hadn’t been there."	"apologetic, guilty, contrite, regretful, repentant, remorseful, penitent, rueful"	10/21/2009		10/22/2009	"後悔的, 抱歉的"		
"repentant"	"Adj"	"/rɪˈpentənt/"	"ashamed and sorry because you recognize that you have done something wrong"		"repentant of his folly "	"apologetic, guilty, contrite, regretful, repentant, remorseful, penitent, rueful"	10/21/2009		10/22/2009	"後悔的"		
"remorseful"	"Adj"	"/rɪˈmɔrsf(ə)l/"	"feeling sad or guilty for having done something wrong"			"apologetic, guilty, contrite, regretful, repentant, remorseful, penitent, rueful"	10/21/2009		10/22/2009	"懊悔的, 悔恨的"		
"penitent"	"Adj"	"/ˈpenɪtənt/"	"sorry for something bad that you have done and willing to change your behavior"		"a penitent expression"	"apologetic, guilty, contrite, regretful, repentant, remorseful, penitent, rueful"	10/21/2009		10/22/2009	"悔過的"		
"rueful"	"Adj"	"/ˈruf(ə)l/"	"showing that you are sorry about something"			"apologetic, guilty, contrite, regretful, repentant, remorseful, penitent, rueful"	10/21/2009		10/22/2009	"悔恨的"		
"ashamed"	"Adj"	"/əˈʃeɪmd/"	"feeling guilty or embarrassed because you have done something wrong, or think that you have not reached a standard that people expect"	"ashamed of"	"He’s extremely ashamed of his behavior last night."		10/21/2009		10/22/2009	"慚愧的, 羞恥的"		
"folly"	"None"	"/ˈfɑli/"	"a way of thinking or behaving that is stupid and careless, and likely to have bad results"	"the folly of (doing) something"	"She soon realized the folly of her actions."		10/21/2009		10/24/2009	"愚蠢, 荒唐事"		
"arraign"	"Verb"	"/əˈreɪn/"	"to order someone to go to a court of law to be formally charged with a crime"		"A 52-year-old Detroit man has been arraigned on charges of murder."		10/21/2009		10/24/2009	"提審；控告"		
"fraud"	"None"	"/frɔd/"	"the crime of obtaining money from someone by tricking them"		"Police are investigating a complex fraud involving several bogus contractors."	"fraud, the black economy, black market, bribery, cyberfraud, e-fraud, false accounting, forgery, influence-peddling, malpractice"	10/21/2009		10/24/2009	"欺騙罪, 行騙的人；騙子"		
"the black economy"			"illegal business activities that allow people to avoid paying taxes, for example selling goods or providing services without keeping any records"			"fraud, the black economy, black market, bribery, cyberfraud, e-fraud, false accounting, forgery, influence-peddling, malpractice"	10/21/2009		10/24/2009			
"black market"	"None"		"the illegal buying and selling of goods, especially when it is difficult or expensive to obtain them legally"	"on the black market"	"There’s a thriving black market in vodka and cigarettes."	"fraud, the black economy, black market, bribery, cyberfraud, e-fraud, false accounting, forgery, influence-peddling, malpractice"	10/21/2009		10/24/2009	"黑市"		
"bribery"	"None"	"/ˈbraɪbəri/"	"the crime of giving money or presents to someone so that they will help you by doing something dishonest or illegal"		"He is appearing in court on charges of bribery and tax evasion."	"fraud, the black economy, black market, bribery, cyberfraud, e-fraud, false accounting, forgery, influence-peddling, malpractice"	10/21/2009		10/24/2009	"行贿, 受贿"		
"cyberfraud"		"/ˈsaɪbərˌfrɔd/"	"crime involving the use of the Internet to obtain money from someone by tricking them"			"fraud, the black economy, black market, bribery, cyberfraud, e-fraud, false accounting, forgery, influence-peddling, malpractice"	10/21/2009		10/24/2009			
"e-fraud"	"None"		"the activity of obtaining money illegally using the Internet"			"fraud, the black economy, black market, bribery, cyberfraud, e-fraud, false accounting, forgery, influence-peddling, malpractice"	10/21/2009		10/24/2009			
"false accounting"	"None"		"the crime of deliberately giving false information in a company’s accounts"			"fraud, the black economy, black market, bribery, cyberfraud, e-fraud, false accounting, forgery, influence-peddling, malpractice"	10/21/2009		10/24/2009	"偽造帳目"		
"forgery"	"None"	"/ˈfɔrdʒəri/"	"the crime of making copies of valuable documents or works of art in order to make money by selling them"			"fraud, the black economy, black market, bribery, cyberfraud, e-fraud, false accounting, forgery, influence-peddling, malpractice"	10/21/2009		10/24/2009	"偽造"		
"influence-peddling"	"None"		"the illegal activity of helping someone achieve their goals by using your political influence in exchange for money"			"fraud, the black economy, black market, bribery, cyberfraud, e-fraud, false accounting, forgery, influence-peddling, malpractice"	10/21/2009		10/24/2009			
"malpractice"	"None"	"/mælˈpræktɪs/"	"careless or criminal behavior by someone with a professional or official job"		"Steve is suing his lawyer for malpractice."	"fraud, the black economy, black market, bribery, cyberfraud, e-fraud, false accounting, forgery, influence-peddling, malpractice"	10/21/2009		10/24/2009			
"be reduced to"	"Phra Verb"		"to make something change into a different form by damaging it or crushing it"	"reduce someone to something"	"Stress had reduced him to a nervous wreck."		10/25/2009	"New York considers calls for smoking ban in parks, beaches"	10/25/2009			
"commissioner"	"None"	"/kəˈmɪʃ(ə)nər/"	"a member of a commission"		"the Federal Trade Commissioners"	"commissioner, academician, alumnus, charter member, confederate"	10/25/2009	"New York considers calls for smoking ban in parks, beaches"	10/25/2009			
"academician"	"None"	"/əˌkædəˈmɪʃ(ə)n/"	"a member of an academy that encourages interest and development in a particular subject"			"commissioner, academician, alumnus, charter member, confederate"	10/25/2009	"New York considers calls for smoking ban in parks, beaches"	10/25/2009			
"alumnus"	"None"	"/əˈlʌmnəs/"	"someone who was a student at a particular school, college, or university"			"commissioner, academician, alumnus, charter member, confederate"	10/25/2009	"New York considers calls for smoking ban in parks, beaches"	10/25/2009			
"charter member"	"None"		"one of the people who started a club or organization."			"commissioner, academician, alumnus, charter member, confederate"	10/25/2009	"New York considers calls for smoking ban in parks, beaches"	10/25/2009			
"confederate"	"None"	"/kənˈfed(ə)rət/"	"one of a group of people, states, or political parties who have united for a particular purpose, especially a political one"			"commissioner, academician, alumnus, charter member, confederate"	10/25/2009	"New York considers calls for smoking ban in parks, beaches"	10/25/2009			
"declare"	"Verb"	"/dɪˈkler/"	"to announce officially that something is true or happening"	"declare someone/something (to be) something"	"Australia declared its support for the agreement."	"announce, inform, declare, issue, bring forward, proclaim, pronounce, notify, address"	10/25/2009	"New York considers calls for smoking ban in parks, beaches"	10/25/2009			
"proclaim"	"Verb"	"/prəˈkleɪm/"	"to state something publicly"	"proclaim (that)"	"Abbot has always proclaimed his innocence of the charges."	"announce, inform, declare, issue, bring forward, proclaim, pronounce, notify, address"	10/25/2009	"New York considers calls for smoking ban in parks, beaches"	10/25/2009			
"pronounce"	"Verb"	"/prəˈnaʊns/"	"to formally state an official opinion or decision"		"The court pronounced her innocent of all charges."	"announce, inform, declare, issue, bring forward, proclaim, pronounce, notify, address"	10/25/2009	"New York considers calls for smoking ban in parks, beaches"	10/25/2009			
"expand"	"Verb"	"/ɪkˈspænd/"	"to become larger in size and fill more space"		"The water froze inside the pipe, causing it to expand and burst."	"expand, swell, dilate, inflate, mature, wax and wane"	10/25/2009	"New York considers calls for smoking ban in parks, beaches"	10/25/2009			
"swell"	"Verb"	"/swel/"	"to become larger than normal, usually because of liquid collecting inside"		"My ankles tend to swell when I travel by air."	"expand, swell, dilate, inflate, mature, wax and wane"	10/25/2009	"New York considers calls for smoking ban in parks, beaches"	10/25/2009			
"dilate"	"Verb"	"/daɪˈleɪt/"	"if part of your body dilates, it becomes bigger and wider"		"dilated pupils"	"expand, swell, dilate, inflate, mature, wax and wane"	10/25/2009	"New York considers calls for smoking ban in parks, beaches"	10/25/2009			
"inflate"	"Verb"	"/ɪnˈfleɪt/"	"to make a number or price higher than it should be"			"expand, swell, dilate, inflate, mature, wax and wane"	10/25/2009	"New York considers calls for smoking ban in parks, beaches"	10/25/2009			
"mature"	"Verb"	"/məˈtʃʊr/"	"to grow to full adult size"		"The gray feathers become whiter as the bird matures."	"expand, swell, dilate, inflate, mature, wax and wane"	10/25/2009	"New York considers calls for smoking ban in parks, beaches"	10/25/2009			
"wax and wane"	"Phra"		"to become bigger or stronger and then smaller or weaker"			"expand, swell, dilate, inflate, mature, wax and wane"	10/25/2009	"New York considers calls for smoking ban in parks, beaches"	10/25/2009			
"erect"	"Verb"	"/ɪˈrekt/"	"to build something such as a statue or bridge"		"A memorial to her was erected after her death."		10/25/2009	"New York considers calls for smoking ban in parks, beaches"	10/25/2009			
"nanny"	"None"	"/ˈnæni/"	"a woman whose job is to take care of someone else’s children. A nanny usually lives with the family that she works for."			"nanny, babysitter, chaperon, childcare, crèche, foster, houseparent, nursemaid"	10/25/2009	"New York considers calls for smoking ban in parks, beaches"	10/25/2009			
"babysitter"	"None"	"/ˈbeɪbiˌsɪtər/"	"someone you pay to come to your house and take care of your children while you are not there, especially in the evening"			"nanny, babysitter, chaperon, childcare, crèche, foster, houseparent, nursemaid"	10/25/2009	"New York considers calls for smoking ban in parks, beaches"	10/25/2009			
"chaperon"	"None"	"/ˈʃæpəˌroʊn/"	"a parent or teacher who goes to a school dance or other event to help to take care of the students"		"Three adult chaperons went with the class on their trip to Europe."	"nanny, babysitter, chaperon, childcare, crèche, foster, houseparent, nursemaid"	10/25/2009	"New York considers calls for smoking ban in parks, beaches"	10/25/2009			
"childcare"	"None"	"/ˈtʃaɪldˌker/"	"the job of taking care of children, especially while their parents are working"		"A lack of adequate childcare is making it difficult for women to return to work."	"nanny, babysitter, chaperon, childcare, crèche, foster, houseparent, nursemaid"	10/25/2009	"New York considers calls for smoking ban in parks, beaches"	10/25/2009			
"crèche"	"None"	"/kreʃ/"	"a place where babies and small children are taken care of while their parents are busy"			"nanny, babysitter, chaperon, childcare, crèche, foster, houseparent, nursemaid"	10/25/2009	"New York considers calls for smoking ban in parks, beaches"	10/25/2009			
"foster"	"Verb"	"/ˈfɑstər/"	"to take care of a child as part of your family for a period of time because the child’s parents cannot take care of them"			"nanny, babysitter, chaperon, childcare, crèche, foster, houseparent, nursemaid"	10/25/2009	"New York considers calls for smoking ban in parks, beaches"	10/25/2009			
"houseparent"	"None"		"an adult who is responsible for students or other young people who are living together in a place without their own parents"			"nanny, babysitter, chaperon, childcare, crèche, foster, houseparent, nursemaid"	10/25/2009	"New York considers calls for smoking ban in parks, beaches"	10/25/2009			
"nursemaid"	"None"	"/ˈnɜrsˌmeɪd/"	"a woman whose job is to take care of someone’s children in their home"			"nanny, babysitter, chaperon, childcare, crèche, foster, houseparent, nursemaid"	10/25/2009	"New York considers calls for smoking ban in parks, beaches"	10/25/2009			
"ward"	"None"	"/wɔrd/"	"a large room in a hospital with beds for people to stay in"	"admit someone to a ward"	"a surgical/geriatric/psychiatric ward"	"ward, consulting room, day room, delivery room, dispensary, ICU, intensive care, maternity ward, nursery, operating room, padded cell, sickroom, surgery"	10/25/2009		10/25/2009			
"consulting room"	"None"		"a room where a doctor examines a patient and discusses their medical problems with them"			"ward, consulting room, day room, delivery room, dispensary, ICU, intensive care, maternity ward, nursery, operating room, padded cell, sickroom, surgery"	10/25/2009		10/25/2009			
"day room"	"None"		"a room in a hospital where patients can go during the day to watch television, read, or talk"			"ward, consulting room, day room, delivery room, dispensary, ICU, intensive care, maternity ward, nursery, operating room, padded cell, sickroom, surgery"	10/25/2009		10/25/2009			
"delivery room"	"None"		"a room in a hospital where women give birth"			"ward, consulting room, day room, delivery room, dispensary, ICU, intensive care, maternity ward, nursery, operating room, padded cell, sickroom, surgery"	10/25/2009		10/25/2009			
"dispensary"	"None"	"/dɪˈspensəri/"	"a place in a hospital where you can get medicines and drugs"			"ward, consulting room, day room, delivery room, dispensary, ICU, intensive care, maternity ward, nursery, operating room, padded cell, sickroom, surgery"	10/25/2009		10/25/2009			
"ICU"	"None"		"an intensive care unit in a hospital"			"ward, consulting room, day room, delivery room, dispensary, ICU, intensive care, maternity ward, nursery, operating room, padded cell, sickroom, surgery"	10/25/2009		10/25/2009			
"intensive care"	"None"		"the department of a hospital for people who are so sick or badly injured that they need to have special medical care and be watched very closely"	"in intensive care"	"He has been in intensive care since the accident last Saturday night."	"ward, consulting room, day room, delivery room, dispensary, ICU, intensive care, maternity ward, nursery, operating room, padded cell, sickroom, surgery"	10/25/2009		10/25/2009			
"maternity ward"	"None"		"the part of a hospital where pregnant women or women who have just given birth to babies are cared for"			"ward, consulting room, day room, delivery room, dispensary, ICU, intensive care, maternity ward, nursery, operating room, padded cell, sickroom, surgery"	10/25/2009		10/25/2009			
"nursery"	"None"	"/ˈnɜrs(ə)ri/"	"an area in a hospital where new babies are taken care of until they go home"			"ward, consulting room, day room, delivery room, dispensary, ICU, intensive care, maternity ward, nursery, operating room, padded cell, sickroom, surgery"	10/25/2009		10/25/2009	"託兒所"		
"operating room"	"None"		"a room in a hospital where doctors perform medical operations"			"ward, consulting room, day room, delivery room, dispensary, ICU, intensive care, maternity ward, nursery, operating room, padded cell, sickroom, surgery"	10/25/2009		10/25/2009			
"padded cell"	"None"		"a room in a hospital for mentally ill people, with soft material on the walls so that they cannot hurt themselves"			"ward, consulting room, day room, delivery room, dispensary, ICU, intensive care, maternity ward, nursery, operating room, padded cell, sickroom, surgery"	10/25/2009		10/25/2009			
"sickroom"	"None"	"/ˈsɪkˌrum/"	"a room where someone who is sick rests or gets medical treatment"			"ward, consulting room, day room, delivery room, dispensary, ICU, intensive care, maternity ward, nursery, operating room, padded cell, sickroom, surgery"	10/25/2009		10/25/2009	"病房"		
"surgery"	"None"	"/ˈsɜrdʒəri/"	"medical treatment in which a doctor cuts open someone’s body"		"He had to undergo heart bypass surgery."	"ward, consulting room, day room, delivery room, dispensary, ICU, intensive care, maternity ward, nursery, operating room, padded cell, sickroom, surgery"	10/25/2009		10/25/2009	"外科,"		
"casualty"	"None"	"/ˈkæʒuəlti/"	"someone who is injured or killed in an accident or military action"	"heavy casualties"	"There were no reports of casualties from the attack."	"casualty, victim, injured, amputee"	10/25/2009		10/25/2009	"傷亡"		
"victim"	"None"	"/ˈvɪktɪm/"	"a murder victim"	"victim of"	"victims of domestic violence/sexual assault"	"casualty, victim, injured, amputee"	10/25/2009		10/25/2009	"受害人"		
"injured"	"Adj"	"/ˈɪndʒərd/"	"hurt in an accident or attack"	"seriously injured"	"Peter brushed aside worries about his injured knee."	"casualty, victim, injured, amputee"	10/25/2009		10/25/2009	"受傷的"		
"amputee"	"None"	"/ˌæmpjəˈti/"	"someone who has had a part of their body amputated"			"casualty, victim, injured, amputee"	10/25/2009		10/25/2009	"受切斷手術的人"		
"suspension"	"None"	"/ sәs'penʃәn /"	"a part attached to the wheels of a vehicle that makes it more comfortable on roads that are not smooth"		"a car with an excellent suspension system"		5/31/2010		5/31/2010	"悬浮"		
"skyline"	"None"	"['skailain]"	"the shape made by hills or buildings against the sky"		"the famous New York skyline"	"skyline, horizon"	5/31/2010		5/31/2010	"地平線"		
"horizon"	"None"	"[hә'raizn]"	"the line far away where the land or sea seems to meet the sky"	"on the horizon"	"We could see a ship on the horizon."	"skyline, horizon"	5/31/2010		5/31/2010	"地平線"		
"hold up"					"My husband has lost so much weight that he has to wear a belt to hold his thousers up."		5/31/2010		5/31/2010	"舉起"		
"ordin.ary"	"Adj"	"/ 'ɔ:dinәri /"	"not unusual or different in any way"		"in the ordinary course of events"	"ordinary, common, average"		"Wenchuan earthquake"		"普通的"		
